"","TaxonUsageID","LETTERCODE","SHORTNAME","TaxonName","NATIVENAME","AuthorName","SYNONYM","TaxonConceptID"
"52126",52126,"INDI.SP","Indigofera aff. vicioi","Indigofera aff. vicioides",NA,"Jaub. & Spach",TRUE,325
"329",329,"IPOMCAI","Ipomoea cairica","Ipomoea cairica",NA,"(L.) Sweet",FALSE,329
"334",334,"IPOMSIN","Ipomoea sinensis","Ipomoea sinensis",NA,"Choisy",FALSE,334
"336",336,"IPOMWIG","Ipomoea wightii","Ipomoea wightii",NA,"(Wall.) Choisy",FALSE,336
"340",340,"JUNCOXY","Juncus oxycarpus","Juncus oxycarpus",NA,"E. Mey. ex Kunth",FALSE,340
"341",341,"JUSTBET","Justicia betonica","Justicia betonica",NA,"L.",FALSE,341
"342",342,"JUSTFLA","Justicia flava","Justicia flava",NA,"(Vahl) Vahl",FALSE,342
"344",344,"KALADEN","Kalanchoe densiflora","Kalanchoe densiflora",NA,"Rolfe",FALSE,344
"354",354,"LANTCAM","Lantana camara","Lantana camara",NA,"L.",FALSE,354
"357",357,"LEONNEP","Leonotis nepetifolia","Leonotis nepetifolia",NA,"(L.) R. Br.",FALSE,357
"359",359,"LEUCURT","Leucas urticifolia","Leucas urticifolia",NA,"(Vahl) R. Br.",FALSE,359
"371",371,"LYTHROT","Lythrum rotundifolium","Lythrum rotundifolium",NA,"Hochst. ex A. Rich.",FALSE,371
"382",382,"MICRKUN","Microchloa kunthii","Microchloa kunthii",NA,"Desv.",FALSE,382
"386",386,"MOLLNUD","Mollugo nudicaulis","Mollugo nudicaulis",NA,"Lam.",FALSE,386
"388",388,"MONSANG","Monsonia angustifolia","Monsonia angustifolia",NA,"E. Mey. ex A. Rich.",FALSE,388
"399",399,"OCIMBAS","Ocimum basilicum","Ocimum basilicum",NA,"L.",FALSE,399
"400",400,"OCIMGRA","Ocimum gratissimum","Ocimum gratissimum",NA,"L.",FALSE,400
"50043",50043,"OCIMGRA","Ocimum suave","Ocimum suave",NA,"Willd.",TRUE,400
"402",402,"OLDEMON","Oldenlandia monanthos","Oldenlandia monanthos",NA,"(A. Rich.) Hiern",FALSE,402
"407",407,"OXALCOR","Oxalis corniculata","Oxalis corniculata",NA,"L.",FALSE,407
"50739",50739,"OXALCOR","Oxalis corniculata var","Oxalis corniculata var. repens",NA,"(Thunb.) Zucc.",TRUE,407
"410",410,"OXYGSIN","Oxygonum sinuatum","Oxygonum sinuatum",NA,"(Hochst. & Steud. ex Meisn.) Dammer",FALSE,410
"414",414,"PANIHYM","Panicum hymeniochilum","Panicum hymeniochilum",NA,"Nees",FALSE,414
"416",416,"PANIMAX","Panicum maximum","Panicum maximum",NA,"Jacq.",FALSE,416
"50047",50047,"PANIMAX","Panicum trichocondylum","Panicum trichocondylum",NA,"Steud.",TRUE,416
"425",425,"PENNMEZ","Pennisetum mezianum","Pennisetum mezianum",NA,"Leeke",FALSE,425
"430",430,"PERSDEC","Persicaria decipiens","Persicaria decipiens",NA,"(R. Br.) K. L. Wilson",FALSE,430
"50050",50050,"PERSDEC","Polygonum salicifolium","Polygonum salicifolium",NA,"Brouss. ex Willd.",TRUE,430
